/home/mueller/code/python/Anwendungspraktikum/Videos/GoPro/GoProFrames/2_image_GP_00013.png;[[0.45226336 0.27672493 0.4656075  0.2828052 ] [0.45046797 0.28513086 0.47308847 0.29334652] [0.44892278 0.2503619  0.46292126 0.25530186] [0.45100117 0.27060723 0.47192785 0.27868176] [0.4500872  0.28856012 0.46489286 0.29499754]];[0.0205817  0.00839251 0.00555257 0.00494473 0.00392869];[1. 1. 1. 1. 1.];[100.]
/home/mueller/code/python/Anwendungspraktikum/Videos/GoPro/GoProFrames/2_image_GP_00014.png;[[0.4518632  0.2767563  0.46505302 0.282906  ] [0.45089447 0.28494444 0.47339502 0.29336944] [0.4498475  0.2881815  0.46472842 0.29477885] [0.45086956 0.27042434 0.47204962 0.27868238] [0.448255   0.25015998 0.46243912 0.25501603]];[0.01985793 0.01128883 0.00590168 0.00514752 0.00269203];[1. 1. 1. 1. 1.];[100.]
/home/mueller/code/python/Anwendungspraktikum/Videos/GoPro/GoProFrames/2_image_GP_00015.png;[[0.45248494 0.27715105 0.4655009  0.28330082] [0.4514927  0.28512233 0.47355434 0.2932883 ] [0.45064545 0.28864333 0.46525797 0.29510424] [0.45055565 0.27040827 0.47174448 0.27868938] [0.44937548 0.25030765 0.46377936 0.25504807]];[0.02361177 0.01390678 0.00656863 0.00444088 0.00284277];[1. 1. 1. 1. 1.];[100.]
/home/mueller/code/python/Anwendungspraktikum/Videos/GoPro/GoProFrames/2_image_GP_00016.png;[[0.45338863 0.27720538 0.46609157 0.28317663] [0.4528352  0.2851392  0.47408116 0.293136  ] [0.45216376 0.27056223 0.47196817 0.27848464] [0.45132628 0.28885165 0.46571955 0.2952393 ] [0.44946173 0.25028187 0.4635386  0.25526488]];[0.02917278 0.01344919 0.00750946 0.00596196 0.00452278];[1. 1. 1. 1. 1.];[100.]
/home/mueller/code/python/Anwendungspraktikum/Videos/GoPro/GoProFrames/2_image_GP_00017.png;[[0.45275036 0.27674755 0.4658406  0.28273818] [0.45084673 0.28506687 0.4734895  0.29324117] [0.4509832  0.2704698  0.47182703 0.2785652 ] [0.5780361  0.48988026 0.5894489  0.4946891 ] [0.55668104 0.48724774 0.567224   0.49151644]];[0.02120939 0.00826284 0.00572337 0.0047429  0.00467351];[1. 1. 1. 1. 1.];[100.]
/home/mueller/code/python/Anwendungspraktikum/Videos/GoPro/GoProFrames/2_image_GP_00018.png;[[0.4529523  0.27717414 0.46567652 0.28291377] [0.4508838  0.28505036 0.47322586 0.29319552] [0.5664488  0.48860016 0.5847622  0.49628732] [0.45168883 0.270736   0.47165102 0.27841404] [0.57730275 0.49036366 0.5884776  0.49521995]];[0.02448662 0.00892208 0.00884093 0.00642474 0.00624429];[1. 1. 1. 1. 1.];[100.]
/home/mueller/code/python/Anwendungspraktikum/Videos/GoPro/GoProFrames/2_image_GP_00019.png;[[0.45365986 0.27731946 0.4662103  0.28306416] [0.45242745 0.28528064 0.47392666 0.29316598] [0.56659436 0.48863092 0.5846827  0.49621472] [0.57543224 0.48997474 0.5865395  0.49481297] [0.55564594 0.48776817 0.5660997  0.49206585]];[0.02560152 0.01050079 0.00797071 0.00652067 0.00603094];[1. 1. 1. 1. 1.];[100.]
/home/mueller/code/python/Anwendungspraktikum/Videos/GoPro/GoProFrames/2_image_GP_00020.png;[[0.45153713 0.2766828  0.4645301  0.2824344 ] [0.5654329  0.48866126 0.583872   0.49655488] [0.45107976 0.2851954  0.4736313  0.29319584] [0.577037   0.49044913 0.5879788  0.4953661 ] [0.45112193 0.2705471  0.47188023 0.2785229 ]];[0.01131891 0.00563733 0.00422765 0.00417523 0.00389624];[1. 1. 1. 1. 1.];[100.]
/home/mueller/code/python/Anwendungspraktikum/Videos/GoPro/GoProFrames/2_image_GP_00021.png;[[0.4515291  0.2768207  0.4643827  0.28266945] [0.45177093 0.2852737  0.47371244 0.29321906] [0.45134762 0.27052212 0.47169152 0.278525  ] [0.44828054 0.25011948 0.462636   0.25506416] [0.5769232  0.49061906 0.58795905 0.49551827]];[0.01959863 0.00735789 0.00483548 0.00366563 0.00350108];[1. 1. 1. 1. 1.];[100.]
/home/mueller/code/python/Anwendungspraktikum/Videos/GoPro/GoProFrames/2_image_GP_00022.png;[[0.4515361  0.276911   0.46448168 0.2828155 ] [0.45089504 0.2851462  0.4732673  0.29324922] [0.45127022 0.2706737  0.47146362 0.27869725] [0.44814163 0.2502275  0.46239504 0.25517404] [0.46414313 0.27668655 0.47829512 0.2830853 ]];[0.0254755  0.00713628 0.0061534  0.00413301 0.00283694];[1. 1. 1. 1. 1.];[100.]
